Key,Frequency,Sentiment
aaron,172,0.988372093
able,168,0.928571429
adenovital,154,0.824675325
absolu,138,0.579710145
absolute,134,0.985074627
accomplish,131,0.992366412
account,128,0.9609375
advanced,119,0.680672269
acid,118,1
acne,116,0.525862069
acnefree,114,0.964912281
advertising,112,0.928571428
activation,102,0.705882353
ad,99,0.454545455
ad_1982,99,1
addicts,98,0.571428571
additive,92,0.815217391
affiliate,91,0.879120879
adele,89,0.775280899
adenogen,83,1
art,72,0.916666667
amazing,69,0.550724638
amazon,68,0.676470589
anessa,64,0.3125
authentication,63,0.158730159
anti,62,0.451612903
aqua,57,0.771929825
aqualabel,56,0.75
advice,53,0.547169811
advisor,52,0.538461538
artist,48,0.770833334
aedes,47,0.14893617
aeon,47,0.617021277
asia,46,0.717391305
assistant,45,0.933333333
afrique,44,0.659090909
benefiance,42,0.30952381
best,42,0.571428571
ageless,41,0.512195122
after,41,0.804878049
agin,40,0.5
aging,39,0.025641026
ah,39,0.641025641
akune,38,0.605263158
bag,38,0.684210526
baby,38,0.710526316
air,38,1
ala,37,0.216216216
bags,37,0.837837838
alive,37,0.918918919
all,36,-0.166666667
allergic,36,0
allaboutme,36,0.583333333
body,36,0.583333333
balm,36,0.75
alpharetta,35,-0.171428571
also,35,-0.028571429
always,35,0.028571429
allure,35,0.314285714
almost,35,1
amnestea,34,-0.176470588
bare,34,0.470588236
base,34,0.617647059
americas,34,1
analysis,33,0.03030303
amnesty,33,0.363636364
bbloggersca,33,0.515151515
and,33,0.636363636
anderson,32,0.09375
annex,32,0.09375
beautiful,32,0.28125
animation,32,0.375
anglo,32,0.625
animals,32,0.65625
anniversary,32,0.8125
be,32,0.875
beaut,32,0.90625
anti-sagging,31,0
antiageing,31,0.032258065
antiaging,31,0.032258065
anti-aging,31,0.483870968
anti-wrinkle,31,0.612903226
beautytips,30,0.066666667
business,30,0.4
aotw,30,0.733333333
campaign,30,0.733333333
anyone,30,0.766666667
anytime,30,0.9
application,29,0
appointments,29,0
beige,29,0.206896552
apt,29,0.75862069
appointment,29,0.793103448
care,28,0.857142857
benefique,28,1
ar,27,0
arcadia,27,0.666666667
arlington,26,0.269230769
bio-performance,26,0.346153846
bio,26,0.5
big,26,0.807692308
arden,26,0.846153846
are,26,0.846153846
area,26,0.884615385
arnotts,25,0.56
daretowearred,25,0.6
arnottsstylesession,25,0.64
arnottsstylesessions,25,0.68
army,25,0.84
blue,24,0.625
blog,24,0.875
aromatic,24,1
arrival,24,1
artfair,24,1
artistry,23,0.47826087
artists,23,0.652173913
artistic,23,0.869565217
ass,23,1
bubbles,22,0.5
break,22,0.818181818
brown,22,0.863636364
brand,22,0.909090909
association,22,1
athena,22,1
atlantis,21,0.142857143
auslese,21,0.142857143
attention,21,0.428571429
atmosphere,21,0.571428571
augmented,21,0.571428571
atlanta,21,0.619047619
autoestima,21,0.761904762
aucoin,21,0.904761905
austin,21,0.904761905
av,21,0.904761905
audience,21,1
australia,21,1
available,20,0.25
c,20,0.5
aweekastyle,20,0.65
awesome,20,0.65
awxi,20,0.8
ca,20,0.85
awhile,20,0.9
can't,20,0.9
cancer,20,0.95
